Variety Name,Varitey Number,Replication,Year,IDC_Score_1,IDC_Score_2,IDC_Score_3,SPAD_1,SPAD_2
PI438312,244,1,2014,2,3,4,14,10
PI438376,245,1,2014,2,1,2,29,26
PI438434,246,1,2014,4,3,3,11,11
PI438503A,247,1,2014,2,2,2,27,21
PI445819,248,1,2014,1,2,1,30,23
PI445845,249,1,2014,2,3,3,17,14
PI458052,250,1,2014,2,2,2,29,20
PI458061A,251,1,2014,1,2,2,24,27
PI458110,252,1,2014,3,4,4,11,11
PI458307A,253,1,2014,2,2,1,17,18
PI458506,254,1,2014,2,2,1,21,20
PI458507,255,1,2014,2,2,2,26,21
PI458517,256,1,2014,2,2,1,22,26
PI458519A,257,1,2014,2,2,2,26,27
PI458520,258,1,2014,2,1,1,26,22
PI458521,259,1,2014,3,3,2,14,13
PI458522,260,1,2014,2,2,2,26,22
PI458825B,261,1,2014,3,3,2,16,17
PI461509,262,1,2014,2,2,1,27,27
PI464877,263,1,2014,2,1,2,31,21
PI464878,264,1,2014,4,3,3,15,15
PI464880,265,1,2014,2,2,1,23,23
PI464884,266,1,2014,2,1,1,37,23
PI464914B,267,1,2014,2,1,1,29,22
PI464915A,268,1,2014,1,1,1,30,23
PI467307,269,1,2014,2,2,2,25,20
PI467310,270,1,2014,3,3,3,12,13
PI467311A,271,1,2014,2,3,3,13,7
PI467312,272,1,2014,2,2,2,26,22
PI467324,273,1,2014,2,1,2,25,22
PI467327,274,1,2014,2,1,2,27,23
PI467328,275,1,2014,2,1,1,27,22
PI467332,276,1,2014,2,2,2,26,24
PI467334B,277,1,2014,1,2,1,27,24
PI468381,278,1,2014,2,3,1,12,19
PI468384,279,1,2014,2,5,5,7,8
PI468385,280,1,2014,2,1,1,23,22
PI468907,281,1,2014,2,2,2,21,25
PI468914,282,1,2014,2,1,1,26,20
PI468919,283,1,2014,1,2,1,29,29
PI470223,284,1,2014,2,2,1,27,25
PI470227B,285,1,2014,2,1,1,24,21
PI471899,286,1,2014,2,2,1,23,19
PI475810,287,1,2014,2,2,2,25,24
PI475811B,288,1,2014,3,4,3,9,11
PI475818,289,1,2014,3,4,3,12,12
PI475820,290,1,2014,1,2,2,33,20
PI475822B,291,1,2014,2,1,2,22,21
PI476344,292,1,2014,2,2,2,16,18
PI476345,293,1,2014,2,2,2,23,19
PI476348,294,1,2014,2,2,2,24,21
PI476911,295,1,2014,2,3,1,16,14
PI479711,296,1,2014,2,2,2,22,21
PI479713,297,1,2014,2,3,1,11,17
PI479718B,298,1,2014,3,3,3,11,12
PI479719,299,1,2014,2,2,2,27,21
PI479724A,300,1,2014,2,2,1,21,25
PI479729,301,1,2014,1,1,1,24,22
PI479738,302,1,2014,2,3,4,15,13
PI479740,303,1,2014,4,2,1,18,24
PI483459,304,1,2014,2,2,2,30,24
PI504485,305,1,2014,3,3,4,11,7
PI504490,306,1,2014,2,2,3,24,21
PI504497,307,1,2014,1,1,1,29,24
PI506527,308,1,2014,1,2,2,27,22
PI506528,309,1,2014,2,3,3,13,14
PI506529,310,1,2014,2,2,2,19,19
PI506634,311,1,2014,3,3,2,14,12
PI506678,312,1,2014,2,2,1,29,20
PI506800B,313,1,2014,2,3,3,10,12
PI506887,314,1,2014,2,1,1,29,25
PI507027,315,1,2014,2,2,2,17,19
PI507147,316,1,2014,1,1,1,29,22
PI507171,317,1,2014,3,4,3,7,9
PI507195,318,1,2014,2,2,1,23,24
PI507267,319,1,2014,2,2,2,25,31
PI507487,320,1,2014,2,2,1,24,22
PI507491,321,1,2014,2,3,4,10,8
PI507717,322,1,2014,2,2,1,21,23
PI512322C,323,1,2014,3,4,4,8,9
PI518283,324,1,2014,2,3,3,13,13
PI518706A,325,1,2014,2,2,1,20,23
PI518757,326,1,2014,2,1,2,30,21
PI522188A,327,1,2014,2,1,2,31,20
PI524994,328,1,2014,2,3,3,15,13
PI532456,329,1,2014,3,2,1,12,28
PI532462A,330,1,2014,2,2,2,23,24
PI532472,331,1,2014,2,2,2,25,23
PI538377,332,1,2014,2,3,3,7,10
PI538389,333,1,2014,2,2,2,20,20
PI538393,334,1,2014,1,2,1,24,21
PI538400,335,1,2014,2,2,2,24,25
PI538403,336,1,2014,2,1,1,28,22
PI538410B,337,1,2014,2,2,2,12,20
PI540739,338,1,2014,2,1,1,33,26
PI547430,339,1,2014,4,5,5,5,7
PI548316,340,1,2014,2,1,2,29,22
PI548329,341,1,2014,1,2,1,21,25
PI548336,342,1,2014,2,2,2,30,23
PI548349,343,1,2014,2,2,1,23,22
PI548373,344,1,2014,1,2,2,26,20
PI548533,345,1,2014,2,2,2,26,20
PI549021A,346,1,2014,3,3,4,12,10
PI549031,347,1,2014,2,2,2,27,22
PI549041A,348,1,2014,3,2,2,23,21
PI549056,349,1,2014,2,2,2,28,18
PI549064,350,1,2014,2,2,1,24,23
PI561230,351,1,2014,2,1,1,23,22
PI561232,352,1,2014,2,2,1,24,20
PI561315,353,1,2014,2,2,1,31,27
PI561333,354,1,2014,2,2,2,26,22
PI561346,355,1,2014,1,2,1,27,25
PI561348,356,1,2014,2,2,2,26,20
PI561349,357,1,2014,1,2,1,12,23
PI561377,358,1,2014,3,3,2,14,13
PI562387,359,1,2014,2,3,3,10,13
PI567154,360,1,2014,2,2,1,20,21
PI567159A,361,1,2014,3,2,2,21,26
PI567161,362,1,2014,4,4,5,4,3
PI567163,363,1,2014,4,5,4,5,9
PI567170A,364,1,2014,2,2,1,20,21
PI567170B,365,1,2014,2,2,1,15,21
PI567214B,366,1,2014,1,1,1,30,25
PI567229A,367,1,2014,1,2,3,25,15
PI567241,368,1,2014,3,3,3,9,11
PI567250B,369,1,2014,2,1,2,30,23
PI567255A,370,1,2014,2,3,3,16,9
PI567261B,371,1,2014,2,2,2,2,19
PI567262D,372,1,2014,2,2,2,24,20
PI567264A,373,1,2014,2,2,2,14,20
PI567266A,374,1,2014,2,2,2,27,21
PI567267A,375,1,2014,2,3,3,15,13
PI567275,376,1,2014,1,2,2,24,24
PI567277,377,1,2014,2,1,2,23,27
PI567278,378,1,2014,1,2,2,15,17
PI567351A,379,1,2014,2,2,2,25,23
PI567365,380,1,2014,3,4,3,15,8
PI567417B,381,1,2014,3,4,3,10,12
PI567538B,382,1,2014,2,3,2,14,9
PI567583A,383,1,2014,2,2,2,23,21
PI567595A,384,1,2014,2,3,3,19,11
PI567619,385,1,2014,2,1,2,28,21
PI567644,386,1,2014,1,2,2,27,22
PI567729,387,1,2014,2,2,2,22,20
PI567774B,388,1,2014,2,2,2,14,22
PI574478B,389,1,2014,2,3,2,14,13
PI574480B,390,1,2014,2,1,2,34,22
PI578360,391,1,2014,3,3,3,14,16
PI578362,392,1,2014,3,4,3,12,8
PI578363,393,1,2014,2,1,2,25,22
PI578364,394,1,2014,3,3,4,10,5
PI578366,395,1,2014,3,2,1,22,20
PI578367,396,1,2014,3,5,5,2,3
PI578374,397,1,2014,2,1,2,31,27
PI578375B,398,1,2014,2,2,2,27,22
PI578376,399,1,2014,1,1,2,29,22
PI578380A,400,1,2014,3,2,2,14,20
PI578382,401,1,2014,3,3,3,11,13
PI578384,402,1,2014,2,1,1,16,24
PI578385,403,1,2014,2,2,2,23,25
PI578386,404,1,2014,2,2,2,28,23
PI578416,405,1,2014,2,2,2,24,23
PI578439,406,1,2014,4,4,5,8,5
PI578473A,407,1,2014,2,2,2,23,22
PI578474,408,1,2014,2,3,3,14,11
PI578499A,409,1,2014,2,2,2,19,26
PI578499B,410,1,2014,2,2,2,24,30
PI588008A,411,1,2014,3,3,4,8,10
PI592907C,412,1,2014,3,4,3,11,11
PI592908,413,1,2014,2,2,2,23,23
PI592910,414,1,2014,3,3,3,15,11
PI592911B,415,1,2014,3,3,3,9,12
PI592912A,416,1,2014,3,5,4,6,4
PI592913,417,1,2014,3,5,5,11,7
PI593970,418,1,2014,2,2,2,29,22
PI593982,419,1,2014,2,3,3,13,11
PI594156,420,1,2014,2,2,2,22,20
PI594170B,421,1,2014,2,3,3,15,14
PI594296,422,1,2014,2,2,2,31,22
PI594394,423,1,2014,2,2,1,23,26
PI594457A,424,1,2014,2,1,1,31,26
PI594471A,425,1,2014,2,1,2,24,23
PI594898,426,1,2014,2,3,2,17,20
PI594902,427,1,2014,2,2,2,26,22
PI597397A,428,1,2014,3,2,2,27,23
PI597405B,429,1,2014,2,1,1,25,25
PI597482,430,1,2014,2,2,1,30,25
PI602497A,431,1,2014,2,3,1,12,14
PI603151A,432,1,2014,2,2,2,28,21
PI603334,433,1,2014,2,2,1,24,29
PI603335B,434,1,2014,2,2,2,27,23
PI603337A,435,1,2014,2,2,2,22,23
PI603339A,436,1,2014,3,4,3,12,10
PI603367,437,1,2014,2,2,1,28,24
PI603371,438,1,2014,2,2,2,28,26
PI603412B,439,1,2014,2,2,1,27,24
PI603422B,440,1,2014,3,3,3,11,9
PI603424C,441,1,2014,2,1,2,27,22
PI603426F,442,1,2014,2,2,2,29,23
PI603428D,443,1,2014,2,2,1,29,25
PI603438E,444,1,2014,2,1,2,32,26
PI603442,445,1,2014,2,3,2,13,15
PI603444A,446,1,2014,2,1,1,31,23
PI603452,447,1,2014,2,3,3,15,14
PI603470,448,1,2014,3,4,4,8,5
PI603546A,449,1,2014,2,2,1,27,25
PI603560,450,1,2014,3,4,5,6,4
PI603587A,451,1,2014,2,2,3,20,20
PI603594,452,1,2014,3,4,3,13,12
PI603596,453,1,2014,2,2,2,21,20
PI603655,454,1,2014,2,3,3,10,12
PI603660,455,1,2014,2,2,3,17,16
PI603662B,456,1,2014,3,4,5,4,7
PI603674,457,1,2014,2,3,4,12,9
PI603704A,458,1,2014,2,2,3,21,27
PI603747,459,1,2014,2,1,1,26,20
PI603749,460,1,2014,2,2,2,22,20
PI603912,461,1,2014,1,2,1,22,26
PI603915C,462,1,2014,2,2,2,27,20
PI612611,463,1,2014,2,2,2,26,24
PI612711B,464,1,2014,2,2,3,22,20
PI612752,465,1,2014,2,1,2,29,23
PI612754,466,1,2014,3,2,1,15,20
PI612759C,467,1,2014,2,2,1,19,20
PI612760,468,1,2014,2,1,1,23,25
