Variety Name,Variety Number,Replication,Year,IDC_Score_1,IDC-Score_2,IDC_Score_3,SPAD1,SPAD2
PI086006,42,4,2015,1,1,1,23.8,24
PI086046,43,4,2015,1,1,1,29.6,25
PI086081,44,4,2015,1,1,1,26.8,29
PI086145,45,4,2015,1,1,1,29.6,24
PI086449,46,4,2015,1,1,1,23.9,26
PI086452,47,4,2015,2,3,3,21,11
PI087600_1,48,4,2015,1,1,1,25.5,27
PI087618,49,4,2015,3,3,3,11,10
PI087631_1,50,4,2015,1,1,1,25.3,26
PI087634,51,4,2015,1,1,1,21.7,27
PI088289,52,4,2015,1,1,1,25,24
PI088292,53,4,2015,1,1,1,28,25
PI088294_1,54,4,2015,4,4,3,8.2,6
PI088295,55,4,2015,4,4,4,6.6,8
PI088305,56,4,2015,2,2,2,18.6,19
PI088306,57,4,2015,1,2,1,23,20
PI088497,58,4,2015,1,1,1,24,25
PI088788,59,4,2015,2,1,1,18.7,19
PI089003_1,60,4,2015,1,1,1,31.1,30
PI089008,61,4,2015,1,1,1,30.4,29
PI089060,62,4,2015,1,1,1,21.6,25
PI089130,63,4,2015,2,1,1,21,26
PI089134,64,4,2015,1,2,2,25.5,24
PI089152,65,4,2015,1,1,1,25.9,28
PI089153,66,4,2015,1,1,1,26,26
PI089154,67,4,2015,1,1,1,25.4,24
PI089156,68,4,2015,4,5,5,6.9,5
PI089773,69,4,2015,1,3,3,31.6,26
PI090392,70,4,2015,1,1,1,25.8,24
PI091091,71,4,2015,1,1,1,23,22
PI091102,72,4,2015,1,1,1,25,23
PI091120_3,73,4,2015,1,1,1,29.8,25
PI091162,74,4,2015,1,1,1,32.3,26
PI091341,75,4,2015,1,1,1,32.1,24
PI091349,76,4,2015,1,1,1,26.5,25
PI091559,77,4,2015,1,1,1,22.7,26
PI091725_3,78,4,2015,1,1,1,26.8,24
PI091733,79,4,2015,1,1,1,23.4,26
PI092465,80,4,2015,3,5,5,29.9,6
PI092603,81,4,2015,1,1,1,23.4,22
PI092611,82,4,2015,1,1,1,30.3,23
PI092683,83,4,2015,2,2,2,19,18
PI092706,84,4,2015,1,1,1,26,26
PI096162,85,4,2015,2,2,2,21,20
PI096199,86,4,2015,1,1,1,26,25
PI096322,87,4,2015,1,1,1,22.3,29
PI096786_1,88,4,2015,1,1,1,18.4,24
PI131531,89,4,2015,1,1,1,23.7,23.7
PI135589,90,4,2015,1,1,1,23.3,28
PI135590,91,4,2015,2,2,3,19,20
PI153229,92,4,2015,1,1,1,30.3,28
PI153250,93,4,2015,1,1,1,24,21
PI153280,94,4,2015,1,1,1,29.2,25
PI153282,95,4,2015,1,1,1,28.2,26
PI157421,96,4,2015,2,1,1,23.4,27
PI167240,97,4,2015,1,1,1,27.6,25
PI171450,98,4,2015,2,2,1,19,20
PI173994,99,4,2015,1,1,1,21.2,26
